Frame_name,Usage,track_id,x_min_norm,y_min_norm,x_max_norm,y_max_norm,class_label,direction,confidence_detection,inference_time_detection (ms),confidence_track,inference_time_track (ms),payload_label,prob_harmful
V_DRONE_113223_305,public,0,0.1469,0.8516,0.1716,0.8812,drone,0,0.3559,880.7,0.0000,0.0,0,0.0000
V_DRONE_106216_250,public,0,0.4820,0.2393,0.5377,0.2898,drone,0,0.5313,23.8,0.0000,0.0,0,0.0000
V_DRONE_106216_250,public,0,0.7958,0.7506,0.8312,0.7979,drone,0,0.4045,23.8,0.0000,0.0,0,0.0000
V_DRONE_098208_193,public,0,0.2996,0.5545,0.3425,0.5979,drone,0,0.4331,23.2,0.0000,0.0,0,0.0000
V_DRONE_109219_101,public,0,0.0362,0.3321,0.0901,0.3991,bird,0,0.4926,20.6,0.0000,0.0,0,0.0000
V_DRONE_109219_115,public,0,0.1162,0.3425,0.1654,0.4002,drone,0,0.3988,16.2,0.0000,0.0,0,0.0000
V_DRONE_098208_187,public,0,0.3120,0.5670,0.3532,0.6077,drone,0,0.4572,18.4,0.0000,0.0,0,0.0000
V_DRONE_110220_009,public,0,0.2342,0.4812,0.2945,0.5375,drone,0,0.5979,16.2,0.0000,0.0,0,0.0000
V_DRONE_106216_244,public,0,0.4780,0.2660,0.5343,0.3194,drone,0,0.5098,17.7,0.0000,0.0,0,0.0000
V_DRONE_106216_244,public,0,0.7653,0.7383,0.8061,0.7894,drone,0,0.4282,17.7,0.0000,0.0,0,0.0000
V_DRONE_113223_311,public,0,0.1311,0.8471,0.1594,0.8784,drone,0,0.5649,15.7,0.0000,0.0,0,0.0000
V_BIRD_046105_083,public,0,0.2638,0.5789,0.3053,0.6241,bird,0,0.4866,14.8,0.0000,0.0,0,0.0000
V_DRONE_102212_190,public,0,0.8719,0.3915,0.9356,0.4436,drone,0,0.6395,27.1,0.0000,0.0,0,0.0000
V_BIRD_049108_002,public,0,0.4775,0.5417,0.5233,0.5991,bird,0,0.2528,14.6,0.0000,0.0,0,0.0000
